"filename", "language", "Python", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\google.py", "Python", 78, 0, 0, 2, -4, 76
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0009_meeting_meeting_start.py", "Python", 13, 0, 0, 1, 6, 20
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0010_auto_20221113_1241.py", "Python", 17, 0, 0, 1, 6, 24
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0011_attendee_contact_name.py", "Python", 13, 0, 0, 1, 6, 20
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0012_remove_attendee_contact_name.py", "Python", 11, 0, 0, 1, 6, 18
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\models.py", "Python", 3, 0, 0, 0, -1, 2
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\static\smart_scheduler\contact_page.css", "CSS", 0, 0, 95, 0, 23, 118
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\static\smart_scheduler\slider.css", "CSS", 0, 0, 8, 0, 13, 21
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\static\smart_scheduler\styles.css", "CSS", 0, 0, 26, 0, 2, 28
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\accept.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\add_attendees.html", "HTML", 0, 16, 0, 0, 7, 23
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\home.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\meeting_form.html", "HTML", 0, 46, 0, 7, 2, 55
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\meeting_status_schedule.html", "HTML", 0, 43, 0, 0, 1, 44
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\user_contacts.html", "HTML", 0, 37, 0, 0, 1, 38
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\user_meetings.html", "HTML", 0, -2, 0, 0, 0, -2
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\urls.py", "Python", 12, 0, 0, -1, 2, 13
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\views.py", "Python", 159, 0, 0, 17, 12, 188
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0009_auto_20221108_0924.py", "Python", 17, 0, 0, 1, 6, 24
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\login.html", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\profile.html", "HTML", 0, 16, 0, 0, 4, 20
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\register.html", "HTML", 0, 1, 0, 0, 0, 1
"Total", "-", 323, 160, 129, 30, 92, 734
