"filename", "language", "Python", "Properties", "HTML", "pip requirements", "Markdown", "JavaScript", "CSS", "Batch", "PowerShell", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\.elasticbeanstalk\config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 32
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\README.md", "Markdown", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\credentials.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\credentials_original.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\data.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\django_project\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\django_project\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\django_project\settings.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 34, 150
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\django_project\urls.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\django_project\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\Activate.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 277, 35, 420
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\activate.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 10, 35
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\deactivate.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\django-admin.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\futurize-script.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 34
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\jp.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 55
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\pasteurize-script.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 34
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\pywin32_postinstall.py", "Python", 557, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 95, 772
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\pywin32_testall.py", "Python", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 20, 120
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\pyvenv.cfg", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\share\doc\jwcrypto\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 11, 49
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\manage.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\requirements.txt", "pip requirements", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\admin.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\auth_helper.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 80
